"ID"	"Tissue"	"Histology"	"State"
"TCGA.AR.A2LH.01A.31R.A18M.07"	"TCGA.AR.A2LH.01A.31R.A18M.07"	"Tumor"	"BRCA"	"S01"
"TCGA.ET.A40R.01A.11R.A23N.07"	"TCGA.ET.A40R.01A.11R.A23N.07"	"Tumor"	"THCA"	"S01"
"TCGA.A2.A259.01A.11R.A16F.07"	"TCGA.A2.A259.01A.11R.A16F.07"	"Tumor"	"BRCA"	"S01"
"TCGA.HC.A632.01A.11R.A29R.07"	"TCGA.HC.A632.01A.11R.A29R.07"	"Tumor"	"PRAD"	"S01"
"TCGA.EJ.A7NM.01A.21R.A33R.07"	"TCGA.EJ.A7NM.01A.21R.A33R.07"	"Tumor"	"PRAD"	"S01"
"TCGA.77.8156.01A.11R.2247.07"	"TCGA.77.8156.01A.11R.2247.07"	"Tumor"	"LUSC"	"S01"
"TCGA.DJ.A2PX.01A.11R.A18C.07"	"TCGA.DJ.A2PX.01A.11R.A18C.07"	"Tumor"	"THCA"	"S01"
"TCGA.AC.A5XS.01A.11R.A29R.07"	"TCGA.AC.A5XS.01A.11R.A29R.07"	"Tumor"	"BRCA"	"S01"
"TCGA.AC.A2FB.01A.11R.A17B.07"	"TCGA.AC.A2FB.01A.11R.A17B.07"	"Tumor"	"BRCA"	"S01"
"TCGA.VP.A87C.01A.11R.A352.07"	"TCGA.VP.A87C.01A.11R.A352.07"	"Tumor"	"PRAD"	"S01"
"TCGA.55.8208.01A.11R.2241.07"	"TCGA.55.8208.01A.11R.2241.07"	"Tumor"	"LUAD"	"S01"
"TCGA.60.2704.01A.11R.2045.07"	"TCGA.60.2704.01A.11R.2045.07"	"Tumor"	"LUSC"	"S01"
"TCGA.D1.A3JP.01A.31R.A22K.07"	"TCGA.D1.A3JP.01A.31R.A22K.07"	"Tumor"	"UCEC"	"S01"
"TCGA.A7.A4SA.01A.11R.A266.07"	"TCGA.A7.A4SA.01A.11R.A266.07"	"Tumor"	"BRCA"	"S01"
"TCGA.E2.A108.01A.13R.A10J.07"	"TCGA.E2.A108.01A.13R.A10J.07"	"Tumor"	"BRCA"	"S01"
"TCGA.BH.A0B7.01A.12R.A115.07"	"TCGA.BH.A0B7.01A.12R.A115.07"	"Tumor"	"BRCA"	"S01"
"TCGA.A8.A07U.01A.11R.A034.07"	"TCGA.A8.A07U.01A.11R.A034.07"	"Tumor"	"BRCA"	"S01"
"TCGA.FP.8210.01A.11R.2343.13"	"TCGA.FP.8210.01A.11R.2343.13"	"Tumor"	"STAD"	"S01"
"TCGA.A2.A04Q.01A.21R.A034.07"	"TCGA.A2.A04Q.01A.21R.A034.07"	"Tumor"	"BRCA"	"S01"
"TCGA.D8.A141.01A.11R.A115.07"	"TCGA.D8.A141.01A.11R.A115.07"	"Tumor"	"BRCA"	"S01"
"TCGA.L5.A4OQ.01A.11R.A260.31"	"TCGA.L5.A4OQ.01A.11R.A260.31"	"Tumor"	"ESCA"	"S01"
"TCGA.DK.A3IU.01A.11R.A20F.07"	"TCGA.DK.A3IU.01A.11R.A20F.07"	"Tumor"	"BLCA"	"S01"
"TCGA.CV.7238.01A.11R.2016.07"	"TCGA.CV.7238.01A.11R.2016.07"	"Tumor"	"HNSC"	"S01"
"TCGA.55.7995.01A.11R.2187.07"	"TCGA.55.7995.01A.11R.2187.07"	"Tumor"	"LUAD"	"S01"
"TCGA.FY.A3R6.01A.11R.A220.07"	"TCGA.FY.A3R6.01A.11R.A220.07"	"Tumor"	"THCA"	"S01"
